"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Update Visit Invalid Stop Datetime","tests.api.open_msr","Mon Mar 09 16:26:01 UTC 2026","passed","Mon Mar 09 16:26:01 UTC 2026","TestCreateVisit","test_create_visit","",""
"","80","Create Patient With New Person Invalid Nested Person","tests.api.open_msr","Mon Mar 09 16:25:57 UTC 2026","passed","Mon Mar 09 16:25:57 UTC 2026","TestCreatePatientWithNewPerson","test_create_patient_with_new_person","",""
"","52","Create Visit Invalid Required Fields","tests.api.open_msr","Mon Mar 09 16:25:59 UTC 2026","passed","Mon Mar 09 16:25:59 UTC 2026","TestCreateVisit","test_create_visit","",""
"","15","Create Person Invalid","tests.api.open_msr","Mon Mar 09 16:25:57 UTC 2026","passed","Mon Mar 09 16:25:57 UTC 2026","","test_create_person","",""
"","74","Create Patient With New Person Invalid Identifier","tests.api.open_msr","Mon Mar 09 16:25:56 UTC 2026","passed","Mon Mar 09 16:25:56 UTC 2026","TestCreatePatientWithNewPerson","test_create_patient_with_new_person","",""
"","305","Create Patient From Existing Person With Disabled User","tests.api.open_msr","Mon Mar 09 16:25:53 UTC 2026","passed","Mon Mar 09 16:25:53 UTC 2026","TestCreatePatientFromExistingPerson","test_create_patient_from_existing_person","",""
"","364","Create Patient From Existing Person With Role","tests.api.open_msr","Mon Mar 09 16:25:51 UTC 2026","passed","Mon Mar 09 16:25:52 UTC 2026","TestCreatePatientFromExistingPerson","test_create_patient_from_existing_person","",""
"","26","Create Person Invalid","tests.api.open_msr","Mon Mar 09 16:25:57 UTC 2026","passed","Mon Mar 09 16:25:57 UTC 2026","","test_create_person","",""
"","19","Create Person Invalid","tests.api.open_msr","Mon Mar 09 16:25:57 UTC 2026","passed","Mon Mar 09 16:25:57 UTC 2026","","test_create_person","",""
"","35","Update Person Birthdate","tests.api.open_msr","Mon Mar 09 16:26:01 UTC 2026","passed","Mon Mar 09 16:26:01 UTC 2026","TestUpdatePerson","test_update_person","",""
"","38","Update Visit Invalid Stop Datetime","tests.api.open_msr","Mon Mar 09 16:26:01 UTC 2026","passed","Mon Mar 09 16:26:01 UTC 2026","TestCreateVisit","test_create_visit","",""
"","52","Create Visit","tests.api.open_msr","Mon Mar 09 16:25:58 UTC 2026","passed","Mon Mar 09 16:25:58 UTC 2026","TestCreateVisit","test_create_visit","",""
"","15","Create Person Invalid","tests.api.open_msr","Mon Mar 09 16:25:57 UTC 2026","passed","Mon Mar 09 16:25:57 UTC 2026","","test_create_person","",""
"","194","Create Patient With New Person Admin","tests.api.open_msr","Mon Mar 09 16:25:55 UTC 2026","passed","Mon Mar 09 16:25:55 UTC 2026","TestCreatePatientWithNewPerson","test_create_patient_with_new_person","",""
"","71","Update Person Invalid","tests.api.open_msr","Mon Mar 09 16:26:01 UTC 2026","passed","Mon Mar 09 16:26:02 UTC 2026","TestUpdatePerson","test_update_person","",""
